Headline,Date and Time,Details
"Lebanon’s Aoun leaves presidential palace as political crisis deepens
","October 31, 2022","BAABDA: Lebanon’s outgoing head of state, Michel Aoun, vacated the presidential palace on Sunday, cheered on by thousands of his loyal supporters, a day before his mandate expires without a designated successor."
PKR falls by nearly Re1 against dollar in interbank,"October 28, 2022","The Pakistani rupee continued to fall against the dollar for the third consecutive session on Friday, losing 97 paise in the interbank market."
"Shares at PSX plunge 462 points on fears of political instability as PTI begins long march
","October 28, 2022","Stocks continued to fall for the third consecutive day on Friday, with analysts attributing the slump to the PTI's "
"EU to ban carbon-emitting vehicles by 2035
","October 29, 2022","BRUSSELS: The European Union on Thursday struck an agreement on legislation to phase out new CO2-emitting vehicles by 2035, negotiators announced."
"ECC allows wheat, urea imports
","October 29, 2022",• Suspends policy curbs for timbers until March 31
"Weekly inflation surges to record 4.13pc as energy, food prices spike
","October 29, 2022","ISLAMABAD: The weekly inflation, measured by the Sensitive Price Indicator (SPI), posted a record increase of 4.13 per cent for the combined income group on a week-on-week basis for the period ending Oct 27 mainly due to the highest-ever energy and food prices, according to data released by the Pakistan Bureau of Statistics (PBS) on Friday."
"Pakistan needs to remove key irritants for agri marketing: WB
","October 30, 2022","ISLAMABAD: A new World Bank report says Pakistan’s agricultural marketing is wasteful due to a number of constraints such as poor infrastructure, high market margins, poor post-harvest management and non-implementation of grades and standards."
"Dar paints picture of ‘solvent’ economy, vows to control dollar
","October 30, 2022","KARACHI:  Finance Minister Ishaq Dar once again reiterated that the US dollar  will be brought below Rs200 and assured stakeholders of the country’s  “solvent state,” fully capable of fulfilling local and international  debt commitments.  "
PM Shehbaz hopes to further deepen ties with China during his visit,"October 30, 2022",Prime Minister Shehbaz Sharif has said that he expects to further deepen strategic relations and enhance trade and business ties with China during his 
PA ex-deputy speaker Dost Mazari remanded in Punjab ACE’s custody for 2 days,"October 30, 2022",A Lahore district court on Sunday approved a two-day physical remand of former Punjab Assembly deputy speaker Dost Mazari at the request of the Punjab Anti-Corruption Establishment (ACE) following his 
"Shehbaz claims Imran contacted him over COAS selection
","October 30, 2022",LAHORE: Prime Min­ister Shehbaz Sharif claimed on Saturday that PTI Chairman Imran Khan through a mutual friend contacted him regarding the appointment of new army chief one month ago and offered him nominating three each potential candidates for the post but he refused to sit with him.
"98pc fields in Sindh ready for cultivation after floods
","October 31, 2022","ISLAMABAD: As the wheat sowing season is progressing in full swing, the United Nations says 98 per cent of the total area for wheat cultivation in Sindh is now available for the next planting season, as people are preparing the land for the sowing season in areas where floodwater has receded. "
"SC summons Senate opposition leader on Azam Swati’s torture claims
","October 31, 2022",ISLAMABAD: The Supreme Court has summoned Senate’s Opposition Leader Dr Shahzad Waseem on Monday (today) over his letter regarding the alleged torture on PTI Senator Azam Swati in custody.  
"Pakistan, UAE conduct bilateral naval exercise in Arabian Sea
","October 31, 2022","KARACHI: The Pakistan and UAE navies conducted a bilateral exercise titled Nasl Al Bahr-IV that featured advanced naval operations, including a practical demonstration of live weapons firings (LWF)."
"Inquiry team records statements in Arshad murder probe
","October 31, 2022",ISLAMABAD: The investigation into the 
"Australia wary of Ireland threat ahead of all-important clash
","October 31, 2022","MELBOURNE: Australia captain Aaron Finch said his team cannot afford to take Ireland lightly in Monday’s T20 World Cup contest, specially after Andy Balbirnie’s side pulled off a "
"Pro-democracy protests spread across Sudan
","October 31, 2022","KHARTOUM: Security forces firing tear gas confronted pro-democracy demonstrators across Sudan on Sunday, correspondents and witnesses said."
"Strange design of Orange Line’s ‘dedicated’ track baffles commuters in Karachi
","October 31, 2022",KARACHI: The Orange Line Bus Rapid Transit (BRT) project has been creating plenty of problems after taking to the road.  
"Elderly man kidnapped from Sialkot in August found killed in Sindh
","October 31, 2022","NAROWAL: A resident of Sialkot’s Bilal Colony who had been missing since Aug 10 was discovered dead on Oct 26 in the Gehilpur neighbourhood of Kashmore, Sindh, most likely by his captors since his family could not pay them Rs10 million in ransom."
"Sherry among those shaping current climate agenda: report
","October 31, 2022",ISLAMABAD: Minister for Climate Change Senator Sherry Rehman along with nine other influencers from around the world has been listed in the group of persons to watch during the upcoming Conference of Parties session to be held in Egypt. 
"Five-year govt initiative to reduce mother and child deaths
","October 31, 2022",PESHAWAR: The health department will launch a five-year initiative to cut down deaths of mothers and newborns through upgradation of services in the public sector hospitals of the province.
"Floods reverse human development
","October 31, 2022",A United Nations-sponsored 
Oil slips as China Covid curbs outweigh concerns over US output,"October 31, 2022","Oil prices fell on Monday on concerns that widening Covid-19 curbs in China will curtail demand, offsetting signs that output at the top United States shale field is losing steam."
"PKR reverses downward trend, gains Rs1.58 against dollar in interbank","October 31, 2022","After falling against the dollar for three consecutive sessions, the PKR reversed the trend on Monday."
"Elon Musk says Twitter will revise how it verifies users
","October 31, 2022","Twitter will revise its user verification process, Elon Musk said in a tweet on Sunday, just days after he "
"Pakistan wants to expand trade, investment ties with China: PM Shehbaz","October 31, 2022",Prime Minister Shehbaz Sharif has said that Pakistan wants to expand trade and investment ties with China ahead of his first official visit to the neighbouring country.
"Finance ministry warns of rising inflation, tough economic conditions ahead
","October 31, 2022","ISLAMABAD: Presenting a broad-based dismal macroeconomic performance so far this year, the Ministry of Finance has forewarned over 21 per cent rate of inflation, tough economic conditions and increasing fiscal challenges because of expenditure overruns during the current fiscal year (FY23). "
Headline,Date and Time,Details
"PM hopes to revive CPEC, expand trade with maiden China visit
","November 1, 2022","ISLAMABAD: Prime Minister Shehbaz Sharif is embarking on a two-day official visit to China on Tuesday (today) in an effort to revive the multi-billion-dollar China-Pakistan Economic Corridor (CPEC), expand trade and investment ties with the neighbouring country by making optimal use of the second phase of the China-Pakistan Free Trade Agreement."
"LHC takes up petition against clause used by ECP to de-seat Imran
","November 1, 2022",LAHORE: The Lahore High Court on Monday took up a challenge to a clause of the relevant law used by the election commission against Pakistan Tehreek-i-Insaf (PTI) chief Imran Khan in the Toshakhana reference.
"PTI insists it favours no one for top army appointment
","November 1, 2022",PESHAWAR: Pakistan Tehreek-i-Insaf (PTI) Khyber Pakhtunkhwa president Pervez Khattak on Monday said his party had no favourites among military generals for appointment as the next Pakistan Army chief.
"NA to meet on Nov 3 in response to PTI march
","November 1, 2022",ISLAMABAD: In an apparent move to counter the Pakistan Tehreek-i-Insaf’s (PTI) ongoing 
"PM Shehbaz announces Rs1,800bn agriculture package to facilitate loans, inputs
","October 31, 2022","Prime Minister Shehbaz Sharif on Monday announced a special package of Rs1,800 billion to promote the agriculture sector, including the provision of free seeds and inexpensive loans and bringing down the prices of fertilisers and electricity for tubewells."
Instagram down for thousands of users across the globe,"October 31, 2022","Meta Platforms Inc’s image-sharing platform Instagram was down for thousands of users on Monday, according to outage tracker Downdetector."
Prices of petroleum products to remain unchanged: Ishaq Dar,"October 31, 2022",Finance Minister Ishaq Dar on Monday announced that there would be no change in the prices of petroleum products for the next fortnight.
"Two soldiers martyred as terrorists open fire on security forces in Balochistan: ISPR
","October 31, 2022","Two Pakistan Army soldiers were martyred on Monday when terrorists opened fire on security forces near Balochistan's Shahrig area, according to a press release issued by the military's media wing."
"Lula wins Brazil’s bitter presidential vote, Bolsonaro silent","October 31, 2022","Brazilian president-elect Luiz Inacio Lula da Silva called for “peace and unity” after narrowly winning a divisive runoff election Sunday, capping a remarkable political comeback by defeating far-right incumbent Jair Bolsonaro — who has yet to accept defeat."
Sindh govt approves Rs5m each as compensation for Machhar Colony lynching victims,"October 31, 2022",The Sindh government on Monday approved Rs5 million compensation for each of the two 
"On defence ministry's request, govt constitutes commission to probe journalist Arshad Sharif's killing
","October 31, 2022","The federal cabinet, on the request of the Ministry of Defence, has approved the constitution of a three-member commission to ""inquire into the facts"" of the "
"Alarmed by KU suicide attack, China and Pakistan work together on probe","October 31, 2022",It was the kind of attack authorities had dreaded.
Finch’s 63 leads Australia to victory over Ireland at T20 World Cup,"October 31, 2022",Australia got their Twenty20 World Cup defence back on track with a 42-run win over Ireland at the Gabba in Brisbane on Monday.
"Contempt case: In reply to SC, Imran says was unaware of undertaking by PTI to not congregate at D-Chowk on May 25","October 31, 2022","Former prime minister Imran Khan on Monday submitted a reply to the Supreme Court in connection with a contempt petition filed against him by the government, saying that he was not aware of any undertaking submitted by his party on his behalf that the May 25 “Azadi March” would not proceed to D-Chowk."
"The perpetual loop
","October 28, 2022","FOR all that changes in the country, the khaki-coloured reality TV show that is power politics is on a perpetual loop. Individual characters can and do evolve, but the storyline inevitably comes back to the self-proclaimed uniformed guardians of the state."
"Editorial: PM must act fairly, decisively to prevent further politicisation of army chief's appointment
","November 1, 2022","WITH mere weeks left for army chief Gen Qamar Bajwa to retire, controversy is simmering once again over the appointment of his successor. This fight for control over who will get to make the decision has been ongoing since before the PDM and PTI swapped their roles as government and opposition. "
"Negotiating at Sharm El Sheikh
","October 28, 2022","IN a few days, the otherwise sleepy beach resort of Sharm El Sheikh will be buzzing with intense activity as delegates, scientists and diplomats descend upon the city to take part in this year’s United Nations Climate Change Conference also known as "
"Sunak’s rise to PM
","October 29, 2022",RISHI Sunak 
"Fate of an amazing plan
","October 30, 2022","IT was always about controlling the narrative, the creation and propagation of information, whether facts or alternative facts, to achieve the goals of undermining, discrediting representative political entities, to massively erode their popular support, and to present an image of perfection, even if a mirage, as a ready replacement."
Azam Swati names military officials behind ‘custodial torture’,"October 28, 2022",PTI leader Azam Swati on Friday held two military officials responsible for his custodial torture and called for them to be removed from their posts.
"Army, ISI in unprecedented presser question Arshad Sharif's exit from Pakistan, point to PTI's involvement
","October 27, 2022","In an explosive and unexpected press conference, Inter-Services Intelligence (ISI) chief Lt Gen Nadeem Ahmed Anjum joined Inter-Services Public Relations (ISPR) DG Lt Gen Babar Iftikhar to speak about journalist Arshad Sharif's killing and former premier Imran Khan's confrontational narrative against the military, as well as a host of other related topics. "
"‘If institutions apolitical, why hold a press conference’: Imran raises questions on ISPR presser","October 27, 2022","PTI Chairman Imran Khan on Thursday raised questions on the unprecedented press conference held by Inter-Services Intelligence (ISI) chief Lt Gen Nadeem Ahmed Anjum and Inter-Services Public Relations (ISPR) DG Lt Gen Babar Iftikhar earlier today, saying that if institutions were apolitical what was the purpose of holding a “political presser”."
Pakistani prisoner Saifullah Paracha released from Guantanamo Bay after 18 years,"October 29, 2022","Saifullah Paracha, a Pakistani prisoner detained at the Guantanamo Bay detention centre, arrived in Pakistan on Saturday following his release from the US military prison after more than 18 years, the Foreign Office (FO) said in a statement."
"Imran begins long march with guns aimed at spy chief
","October 29, 2022","• Ex-PM says ISI DG delivered ‘political presser’, conveniently ignored ‘group of thieves’"
"Imran’s absence from march fuels guessing game
","October 30, 2022",• Ex-PM asks army chief to investigate intel officers over alleged torture of PTI leader
Did you know Fawad Khan’s kidneys collapsed during his physical transformation for Maula Jatt?,"June 29, 2015",LAHORE: The Pakistan Tehreek-i-Insaf (PTI) leaders on Sunday expressed optimism that the power in Punjab would soon be with the PTI and agreed that the party leadership must follow the carrot-and-stick policy to ensure merit and transparency within the party.
"Burnt bridges
","October 28, 2022",THE establishment on Thursday reached for the nuclear option as it attempted to reassert itself ahead of the PTI’s 
"Imran claims only ‘lies and half-truths’ spoken in ‘foolish’ press conference of ISI, ISPR chiefs","October 29, 2022",PTI chief Imran Khan has dubbed the recent 
"Hollow sabre-rattling
","October 29, 2022","RESPONSIBLE officials of state should know better than to make incendiary claims that have the potential to further poison bilateral ties. However, the BJP-led dispensation that currently rules India seems to have no shortage of sabre-rattling officials that seek to stoke conflict with Pakistan by making irresponsible remarks. "
"T20 World Cup: Pakistan look to bounce back in Zimbabwe clash today
","October 27, 2022",PERTH: Pakistan seek to revive their T20 World Cup campaign here on Thursday when they play their second group match against Zimbabwe.
Virat Kohli stars again as ominous India thrash Netherlands in T20 World Cup,"October 27, 2022",Virat Kohli smashed a second successive half-century as India thrashed the Netherlands by 56 runs on Thursday to put themselves in a strong position at the Twenty20 World Cup.
"Asitha replaces Binura in injury-hit Sri Lanka squad
","October 28, 2022","SYDNEY: Bowler Asitha Fernando will join up with Sri Lanka’s Twenty20 World Cup squad as a replacement for Binura Fernando after the seamer was ruled out due to a hamstring injury, tournament organisers said on Thursday. "
"Qatar World Cup organisers hit back at Australia rights criticism
","October 28, 2022","DOHA: Qatar’s World Cup organisers on Thursday hit back at criticism of the Gulf state’s rights record by the Australian football team, insisting that  “no country is perfect”."
"T20 World Cup: Babar defends move to play extra pacer after Zimbabwe loss
","October 28, 2022",Captain Babar Azam defended his decision to play an extra fast bowler in Thursday's shock Twenty20 World Cup 
Head coach Aikman upbeat about Pakistan’s show at Azlan Shah Cup,"October 29, 2022",KARACHI: Pakistan hockey team head coach Siegfried Aikman is optimistic that the team’s hard work in the preparatory camp will translate into good performances in the upcoming Sultan Azlan Shah Cup.
"Former Pakistan captain Ali Nawaz Baloch passes away
","October 29, 2022","KARACHI: It was poignant that it was at the ground where he put in some of his best performances, which took Ali Nawaz Baloch from a precocious talent to a goal-scoring legend, that the departing prayers for him were said."
Glenn Phillips hits 104 as New Zealand crush Sri Lanka at T20 World Cup,"October 29, 2022",Glenn Phillips smashed a powerhouse 104 and Trent Boult grabbed four wickets as New Zealand swept past Sri Lanka by 65 runs in Sydney on Saturday to put them in pole position to make the semi-finals at the Twenty20 World Cup.
"Playing last in group stage an advantage for England, says Buttler
","October 30, 2022",MELBOURNE: England cricket captain Jos Buttler said his team retained an advantage playing last in the final round of group matches at the Twenty20 World Cup as they will know exactly what is needed in terms of net run rate to reach the semi-finals.
"Zimbabwe’s T20 win against Pakistan proves one thing — the curse of the Bean is real
","June 29, 2015",ISLAMABAD: A man and two of his grandchildren were killed and another two grandsons seriously injured as they crossed the Faisal Avenue on Sunday morning.
"Bangladesh edge Zimbabwe in last-ball thriller at T20 World Cup
","October 30, 2022","Bangladesh got their Twenty20 World Cup back on track on Sunday with a thrilling last-ball win over Zimbabwe, aided by opener Najmul Shanto's maiden half-century and Taskin Ahmed's three wickets."
"Workers complain of eviction in Doha ahead of World Cup
","October 29, 2022",DOHA: Asian and African workers on Friday accused Qatar of emptying apartment blocks housing thousands of foreigners in the centre of the capital Doha where visiting soccer fans will stay during the World Cup.
"Qatar protests to Germany over minister’s World Cup comments
","October 29, 2022",DOHA: Qatar summoned Germany’s ambassador on Friday to protest comments made by a minister casting doubt on whether the Gulf state should host the football World Cup.
"Israeli forces kill two more Palestinians
","October 29, 2022","NABLUS: Two Palesti­n­ians were killed on Friday by Israeli forces in the occupied West Bank, the Palest­inian health ministry said."
"Kenyan police charged with crimes against humanity
","October 29, 2022","NAIROBI: In a landmark decision, Kenyan prosecutors said on Friday they would charge police officers with crimes against humanity over a deadly crackdown on post-election protests in 2017."
"Pro-PTI protester held near Nawaz’s home in London
","October 29, 2022","LONDON: A young man was detained and later released by Scotland Yard on Friday when Pakistan Tehr­eek-i-Insaf activists protested outside Avenfield House, the residence of PML-N supremo Nawaz Sharif."
"US House Speaker Nancy Pelosi's husband violently assaulted; suspect held
","October 29, 2022","SAN FRANCISCO: US House of Representatives Speaker Nancy Pelosi’s husband Paul Pelosi was assaulted during a break-in at their San Francisco home early on Friday and a suspect has been arrested, authorities said."
"Hate speech, online extremism fed Pelosi attack, believe terror experts
","October 30, 2022","WASHINGTON: The frequent targeting of US House Speaker Nancy Pelosi by online extremists and political opponents likely contributed to the violent attack on her husband Paul, terrorism and extremism experts said."
"45 killed as tropical storm lashes Philippines
","October 30, 2022",DATU SINSUAT: Severe Tropical Storm Nalgae whipped the Philippines on Saturday after unleashing flash floods and landslides that officials said left at least 45 people dead.
"South Korea mourns, wants answers after Halloween crush kills 153","October 30, 2022","Shocked family members collected bodies, parents searched for children and a country sought answers on Sunday after at least 153 people were "
At least 100 people killed in car bombs in Somalia: president,"October 30, 2022","At least 100 people were killed and 300 injured in two car bombs that exploded outside the education ministry in Somalia’s capital Mogadishu on Saturday, the country’s president said in a statement early on Sunday."
"Saudi Arabia to auction five mining licences
","October 31, 2022","RIYADH: Saudi Arabia is planning to auction five new mining exploration licences with copper, zinc, lead and iron deposits for local and international investors in 2023, the mining minister said on Sunday, as it diversifies the economy away from hydrocarbons."
"Brazil votes in ‘tense’ Lula vs Bolsonaro presidential runoff
","October 31, 2022",BRASILIA: A polarised Brazilian electorate began casting votes on Sunday in a knife-edge presidential runoff that pits far-right incumbent President Jair Bolsonaro against leftist former leader Luiz Inacio Lula da Silva. 
Apple earnings rise as economic gloom hits tech,"October 28, 2022","Apple Inc on Thursday reported revenue and profit that topped Wall Street targets, one of the few bright spots in a tech sector battered by spending cutbacks due to inflation."
Health startup Tibbi.pk wins She Loves Tech Pakistan 2022 competition,"October 28, 2022",Tibbi.pk
Oil falls as China widens Covid-19 curbs; still set for weekly gain,"October 28, 2022","Oil prices fell on Friday after China, the world’s top crude oil importer, widened its Covid-19 curbs, but were poised for a weekly gain on supply concerns ahead of Europe’s pending cut-off of Russian imports."
Logistics firm UNSL to migrate from GEM to PSX main board,"October 29, 2022","KARACHI: Universal Network Systems Ltd (UNSL), a logistics firm operating under the brand name of BlueEX, said on Friday it’s decided to migrate to the main board of the Pakistan Stock Exchange (PSX) from the Growth Enterprise Market (GEM) board, which is a separate PSX counter reserved for smaller and riskier companies."
"PSO quarterly profit plunges 90pc
","October 29, 2022","KARACHI: Profitability of Pakistan State Oil Company Ltd (PSO) dropped 90 per cent year-on-year in July-September to Rs1.2 billion, a stock notice showed on Friday."
"Pakistan needs at least $16.3bn for post-flood rehab: report
","October 29, 2022","ISLAMABAD: Putting the flood damage and loss estimates at over $30 billion (around Rs6.5 trillion), leading international agencies have warned of a substantial increase in poverty levels, widening fiscal and external account deficits amid political and economic instability."
"Pakistan needs to remove key irritants for agri marketing: WB
","October 30, 2022","ISLAMABAD: A new World Bank report says Pakistan’s agricultural marketing is wasteful due to a number of constraints such as poor infrastructure, high market margins, poor post-harvest management and non-implementation of grades and standards."
"Growth in quarterly corporate profits slows down
","October 30, 2022",			
"Shehbaz claims Imran contacted him over COAS selection
","October 30, 2022",LAHORE: Prime Min­ister Shehbaz Sharif claimed on Saturday that PTI Chairman Imran Khan through a mutual friend contacted him regarding the appointment of new army chief one month ago and offered him nominating three each potential candidates for the post but he refused to sit with him.
"Imran claims dialogue on with ‘establishment’
","October 31, 2022","• Says didn’t approach Shehbaz, implying govt cannot offer him anything"
"Pakistan, UAE conduct bilateral naval exercise in Arabian Sea
","October 31, 2022","KARACHI: The Pakistan and UAE navies conducted a bilateral exercise titled Nasl Al Bahr-IV that featured advanced naval operations, including a practical demonstration of live weapons firings (LWF)."
"Sana vows to take ‘audio of Gandapur’ to court
","October 31, 2022",ISLAMABAD/DERA ISMAIL KHAN: Interior Minister Rana Sanaullah on Sunday announced he would move court over the 
"Tragedy convinced Wasim Akram to ditch cocaine habit
","October 31, 2022",LONDON: Pakistan cricket legend Wasim Akram says it took the death of his first wife Huma to spark him into finally kicking his addiction to cocaine which had replaced the thrill of playing when he retired.
"Pro-democracy protests spread across Sudan
","October 31, 2022","KHARTOUM: Security forces firing tear gas confronted pro-democracy demonstrators across Sudan on Sunday, correspondents and witnesses said."
"Key suspect in telecom workers’ lynching held after ‘encounter’ in Karachi
","October 31, 2022","KARACHI: Police arrested a key suspect, said to be involved in the "
"Punjab CM announces Blue Line public transport project from Kalma Chowk to Old Airport
","October 31, 2022","LAHORE: Chief Minister Parvez Elahi announced on Sunday that Punjab government will launch ‘Blue Line project’ to provide another modern travelling facility to the population of the provincial capital, besides dividing the Lahore city district into three districts to improve the service delivery. "
"Punjab Police mulls policy to regulate transfers, postings of officers
","October 31, 2022",LAHORE: The Punjab Police is considering a proposal to regulate the transfer/posting criteria for the field officers to avoid ‘random selection’ of the blue-eyed officers for certain offices. 
"Credit for local bodies elections in Azad Kashmir goes to PTI: Ilyas
","October 31, 2022",MUZAFFARABAD: Azad Jammu and Kashmir (AJK) Prime Minister Sardar Tanveer Ilyas on Sunday said holding of local bodies (LB) elections after more than three decades was an extraordinary achievement of the Pakistan Tehreek-i-Insaf (PTI) government “in accordance with the vision of its chairman Imran Khan”.
"South Punjab education department seeks information about teachers using Twitter
","October 31, 2022",BAHAWALPUR: South Punjab School Education Department (SED) has sought Twitter account information of the public school teachers in all the 18 districts of southern region.
"Falling further behind
","October 31, 2022",Pakistan is resetting its ties with the US and is trying to balance its relationship with China and Russia. This rebalancing of geopolitical positioning has a deep impact on local politics.
"Enhancing farmers’ income
","October 31, 2022","In October 2022, thousands of farmers protested in Islamabad, demanding a reduction in the prices of agricultural inputs. The recent hike in prices of fertiliser and electricity has resulted in a higher cost of crop production, which in turn has negatively impacted farmers’ income and the profitability of the agriculture sector."
"Elon Musk says Twitter will revise how it verifies users
","October 31, 2022","Twitter will revise its user verification process, Elon Musk said in a tweet on Sunday, just days after he "
"Finance ministry warns of rising inflation, tough economic conditions ahead
","October 31, 2022","ISLAMABAD: Presenting a broad-based dismal macroeconomic performance so far this year, the Ministry of Finance has forewarned over 21 per cent rate of inflation, tough economic conditions and increasing fiscal challenges because of expenditure overruns during the current fiscal year (FY23). "
World food supplies at risk as Russia withdraws from Black Sea deal,"October 31, 2022",Russia’s weekend backtrack from a United Nations-brokered 
Ayaz Sadiq given additional portfolio of law and justice,"October 31, 2022","Economic Affairs Minister Sardar Ayaz Sadiq was given the additional portfolio of law and justice on Monday, a week after PML-N Senator Azam Nazeer Tarar "
"Why do Pakistani brands advertise at all?
","November 15, 2014",BRISBANE: The World Trade Organisation said on Friday there was a “high probability” that a major deal on streamlining global customs rules will be implemented within two weeks after India and the United States overcame a key impasse.
Headline,Date and Time,Details
Oil prices slide as hopes for China demand rebound fade,"November 7, 2022",Oil prices fell more than $1 a barrel on Monday after Chinese officials on the weekend reiterated their commitment to a strict 
"Thousands march in Peru calling for president’s removal
","November 7, 2022","LIMA: Thousands of demonstrators marched through the streets of Lima on Saturday to call for the removal of President Pedro Castillo, the subject of an unprecedented six investigations for corruption."
"Four cops shot dead in Iran’s Baluchestan
","November 7, 2022","TEHRAN: Four Iranian police officers and one  “terrorist” have been killed in  separate incidents in the strife-torn country, state media and the  Revolutionary Guards said on Sunday."
"‘India’s first voter’ dies aged 105
","November 7, 2022","Shyam Saran Negi, the man dubbed “India’s first voter” has died at the age of 105 in Kalpa in Himachal Pradesh, "
"PML-N leader Rai Qamar held for hurling threats at Imran
","November 7, 2022","LAHORE: Police on Sunday arrested Rai Qamar, former PML-N vice chairman of Hafizabad, on the allegation of hurling threats at PTI chairman Imran Khan, says a handout."
"Shah Mahmood Qureshi to lead march until Imran recovers
","November 7, 2022","TOBA TEK SINGH: Pakistan Tehreek-i-Insaf (PTI) Central Vice Chairman Shah Mahmood Qureshi says as soon as Imran Khan is able to stand and walk, he will join the long march, which will begin from Wazirabad on Tuesday."
"Fourth extension in CS’ look-after charge: Punjab govt seems content with ‘stopgap arrangement’
","November 7, 2022",LAHORE: The Punjab government has extended the look-after charge of Chief Secretary Abdullah Khan Sumbal for the fourth consecutive time – for a month.
"Tourists start visiting Swat after restoration of peace
","November 7, 2022",SWAT: Tourists have started visiting Swat again to enjoy the natural beauty of the scenic valley after restoration of peace.
"Rally in Bara tehsil demands ‘effective’ steps for peace in Khyber
","November 7, 2022",KHYBER: Speakers at a rally in Bara tehsil here on Sunday called for effective steps to establish durable peace in the Khyber district.
"Peshawar High court quashes FIR against protesters in Lower Dir
","November 7, 2022",PESHAWAR: The Peshawar High Court has ordered quashing of an FIR registered against several protesters in Lower Dir for staging a demonstration despite ban imposed by the deputy commissioner under section 144 of Code of Criminal Procedure.
"On growing hope and despair
","November 7, 2022","Tax revenue collection remains behind the target and the fiscal deficit is growing, forcing the federal government to borrow excessively from commercial banks at high rates of return."
"Distribution discrepancies
","November 7, 2022","The working of Sindh’s food department is once again under a cloud. The distribution of wheat by department among roller flour mills and owners of chakkis was hit by discrepancies, putting consumers under an additional financial burden in these days of never-ending inflation."
"The rise of Islamic fintechs
","November 7, 2022","Over the past two decades, Pakistani banking has undergone drastic shifts. There were the good days when foreign banks could be spotted every few kilometres in the major cities, and consumer financing was all the craze. Then came the bad days and, with them, the defaults. Global players pulled out, and everyone flocked to lending to the sovereign."
"Empty coffers
","November 2, 2022","IN recent years, as Pakistan has hurtled from one catastrophe to another, remittances sent by Pakistani workers living abroad have been a source of some small amount of stability. When foreign investments have seemed scant and aid packages have dried up, workers sending money back to families, investing in and purchasing assets in their home country has served as a reliable source of foreign exchange. "
"Climate change and health
","November 4, 2022",THE 
"The march and after
","November 2, 2022","THE battle lines have now been clearly drawn. Apparently undeterred by the security establishment’s frontal attack, Imran Khan is marching on the citadel. The much-awaited ‘long march’ has "
"Brace for impact
","November 3, 2022","IT is in the fundamental national security interest of Pakistan that global average temperatures stabilise at 1.5 degrees Celsius. A change of 1°C has already caused serious disruptions and brought the economy to its knees. Pakistan, like many other developing countries, will simply not have the residual resilience to cope with recurring climate disasters. "
Tragedy averted,"November 3, 2022",The nation has narrowly avoided a grave tragedy thanks to sheer good luck and the quick thinking of one courageous bystander.
"Imran endorses PM-suggested SC panel to probe Wazirabad assassination claims
","November 7, 2022",			
"Editorial: Imran's strategic use of populist slogans has turned the playbook on its head
","November 7, 2022","THE system is imploding, spectacularly — collapsing under the weight of the multiple distortions created by decades of political engineering, not to mention outright military takeovers. "
"Modi’s double-engine sarkar
","November 5, 2022",WHEN Prime Minister Narendra Modi barrels around India to support allies running for state government elections his war cry is: ‘ab ki bar double engine ki sarkar’ (this time a double-engine government). At face value this means having the BJP at the centre together with 
"Laws against torture have lost their relevance in Pakistan
","November 7, 2022","IN the D.K. Basu case, the Indian supreme court, while discussing custodial torture, observed, “Torture is a wound in the soul so painful that sometimes you can almost touch it, but it is also so intangible that there is no way to heal it. … Torture is despair and fear and rage and hate. It is a desire to kill and destroy including yourself.” "
"'Baseless' accusations by Imran 'unacceptable, uncalled for': ISPR
","November 4, 2022","The Inter-Services Public Relations (ISPR) late on Friday rejected the ""baseless and irresponsible"" allegations by PTI Chairman Imran Khan against the military."
Serious accusations,"November 4, 2022",The 
Kohli ‘perfect’ and training after invasion incident: Dravid,"November 1, 2022","“Absolutely perfect” Virat Kohli trained as usual at the Twenty20 World Cup on Tuesday, coach Rahul Dravid said, adding he hopes there is no repeat of the invasion of privacy which left the star batsman “paranoid”."
Buttler ‘proud’ after England reignite World Cup prospects,"November 1, 2022","Skipper Jos Buttler praised the character of his England side as they breathed new life into their Twenty20 World Cup on Tuesday, but it was curtains for Afghanistan."
"T20 World Cup: India wary of complacency against Bangladesh
","November 2, 2022",MELBOURNE: India res­u­me their bid for a Twe­nty20 World Cup semi-final spot when they face Bangl­adesh on Wednesday and coach Rahul Dravid said there is no room for complacency despite the 2007 champions losing just one of their last 11 matches to their neighbours.
"South Africa target fragile Pakistan confidence at T20 World Cup
","November 2, 2022",South Africa's David Miller warned on Wednesday they will look to “exploit” Pakistan's fragile confidence as they strive to seal a Twenty20 World Cup semi-final spot and send their opponents packing.
Netherlands beat Zimbabwe for consolation win at T20 World Cup,"November 2, 2022",Paul van Meekeren’s three wickets helped the Netherlands claim their first victory of the T20 World Cup Super 12 stage Wednesday as their five-wicket win all but eliminated Zimbabwe.
"Forget the permutations, focus on Afghanistan, says Australia chief selector
","November 3, 2022","MELBOURNE: Australia must put the foot down in pursuit of victory against Afghanistan and not worry about the other external factors which could affect their bid to reach the Twenty20 World Cup semi-finals, chief selector George Bailey said."
"All-rounder Mohammad Haris replaces injured Fakhar Zaman for T20 World Cup
","November 3, 2022",Pakistan on Thursday called up batting all-rounder Mohammad Haris to replace the injured Fakhar Zaman just hours before they face South Africa in Sydney with their T20 World Cup hopes on the line.
